age,income,score,experience,hours_per_week,target,gender_original,gender_Male,product_type_B,product_type_C
56.0,23343.0,53.0,25.0,37.0,0,Female,False,False,False
69.0,33500.0,63.0,21.0,33.0,1,Female,False,False,True
46.0,73222.0,65.0,38.0,39.0,1,Male,True,True,False
32.0,49375.0,59.0,1.0,37.0,1,Female,False,True,False
60.0,29662.0,36.0,37.0,29.0,0,Female,False,True,False
25.0,36964.0,49.0,38.0,44.0,1,Male,True,True,False
38.0,79638.0,85.0,25.0,21.0,0,Female,False,False,False
56.0,93666.0,65.0,14.0,44.0,0,Female,False,False,True
36.0,105067.0,43.0,33.0,52.0,0,Male,True,True,False
40.0,87215.0,73.0,39.0,55.0,0,Female,False,False,False
28.0,89042.0,44.0,10.0,50.0,1,Male,True,False,True
28.0,33284.0,39.0,2.0,33.0,0,Female,False,False,True
41.0,92789.0,70.0,5.0,20.0,1,Male,True,False,False
53.0,104664.0,30.0,8.0,35.0,1,Male,True,False,False
57.0,113468.0,21.0,5.0,22.0,0,Male,True,True,False
41.0,81389.0,64.0,8.0,54.0,1,Female,False,False,True
20.0,29435.0,50.0,38.0,25.0,1,Male,True,False,True
39.0,74340.0,51.0,30.0,44.0,0,Male,True,False,False
19.0,64078.0,44.0,31.0,32.0,1,Male,True,False,True
41.0,98832.0,46.0,11.0,53.0,1,Male,True,True,False
61.0,71293.0,43.0,7.0,27.0,1,Male,True,False,True
47.0,115981.0,40.0,7.0,40.0,1,Female,False,False,False
55.0,98781.0,44.0,27.0,53.0,0,Female,False,False,False
19.0,80403.0,43.0,19.0,23.0,1,Female,False,True,False
38.0,49124.0,37.0,6.0,44.0,1,Female,False,True,False
50.0,115435.0,41.0,10.0,34.0,1,Female,False,False,True
29.0,63919.0,12.0,19.0,23.0,1,Female,False,False,True
39.0,55247.0,60.0,15.0,31.0,0,Female,False,False,False
61.0,114758.0,55.0,3.0,51.0,1,Male,True,True,False
42.0,111747.0,48.0,5.0,51.0,0,Female,False,True,False
66.0,82752.0,53.0,21.0,47.0,1,Male,True,True,False
44.0,76573.0,54.0,25.0,32.0,0,Male,True,False,True
59.0,79101.0,39.0,2.0,50.0,0,Female,False,True,False
45.0,46646.0,42.0,13.0,33.0,0,Male,True,False,False
33.0,43049.0,57.0,10.0,39.0,0,Male,True,False,False
32.0,99605.0,53.0,17.0,37.0,0,Male,True,False,True
64.0,118116.0,80.0,11.0,48.0,1,Male,True,False,True
68.0,117379.0,74.0,22.0,25.0,1,Female,False,True,False
61.0,88385.0,63.0,11.0,51.0,1,Female,False,False,True
69.0,60158.0,38.0,12.0,48.0,0,Female,False,False,False
