age,income,score,experience,hours_per_week,target,gender_original,gender_Male,product_type_B,product_type_C
56,23343,53,25,37,0,Female,False,False,False
69,33500,63,21,33,1,Female,False,False,True
46,73222,65,38,39,1,Male,True,True,False
32,49375,59,1,37,1,Female,False,True,False
60,29662,36,37,29,0,Female,False,True,False
25,36964,49,38,44,1,Male,True,True,False
38,79638,85,25,21,0,Female,False,False,False
56,93666,65,14,44,0,Female,False,False,True
36,105067,43,33,52,0,Male,True,True,False
40,87215,73,39,55,0,Female,False,False,False
28,89042,44,10,50,1,Male,True,False,True
28,33284,39,2,33,0,Female,False,False,True
41,92789,70,5,20,1,Male,True,False,False
53,104664,30,8,35,1,Male,True,False,False
57,113468,21,5,22,0,Male,True,True,False
41,81389,64,8,54,1,Female,False,False,True
20,29435,50,38,25,1,Male,True,False,True
39,74340,51,30,44,0,Male,True,False,False
19,64078,44,31,32,1,Male,True,False,True
41,98832,46,11,53,1,Male,True,True,False
61,71293,43,7,27,1,Male,True,False,True
47,115981,40,7,40,1,Female,False,False,False
55,98781,44,27,53,0,Female,False,False,False
19,80403,43,19,23,1,Female,False,True,False
38,49124,37,6,44,1,Female,False,True,False
50,115435,41,10,34,1,Female,False,False,True
29,63919,12,19,23,1,Female,False,False,True
39,55247,60,15,31,0,Female,False,False,False
61,114758,55,3,51,1,Male,True,True,False
42,111747,48,5,51,0,Female,False,True,False
66,82752,53,21,47,1,Male,True,True,False
44,76573,54,25,32,0,Male,True,False,True
59,79101,39,2,50,0,Female,False,True,False
45,46646,42,13,33,0,Male,True,False,False
33,43049,57,10,39,0,Male,True,False,False
32,99605,53,17,37,0,Male,True,False,True
64,118116,80,11,48,1,Male,True,False,True
68,117379,74,22,25,1,Female,False,True,False
61,88385,63,11,51,1,Female,False,False,True
69,60158,38,12,48,0,Female,False,False,False
20,85417,41,24,21,1,Female,False,True,False
54,43289,34,18,42,0,Female,False,False,False
68,29823,54,35,38,0,Female,False,True,False
24,80160,8,7,50,1,Female,False,False,True
38,61975,43,28,24,1,Female,False,True,False
26,29540,45,31,38,0,Female,False,True,False
56,36364,27,17,53,0,Female,False,False,False
35,24611,61,5,29,1,Male,True,False,False
21,47663,32,17,44,1,Female,False,True,False
42,71991,54,18,21,1,Male,True,False,True
31,77679,91,21,30,1,Male,True,False,True
67,50977,25,36,50,0,Male,True,False,False
26,114704,47,31,34,1,Male,True,False,True
43,69115,43,2,28,1,Female,False,False,False
19,111007,40,27,42,1,Male,True,False,True
37,108223,61,9,38,0,Female,False,True,False
45,80890,66,34,28,0,Female,False,False,False
64,86387,61,28,54,0,Male,True,False,False
24,38071,39,14,40,0,Female,False,True,False
61,79275,86,32,28,1,Male,True,False,False
25,92369,23,6,47,0,Male,True,False,True
