age,income,score,experience,hours_per_week,gender,product_type,target
56,23343,53,25,37,Female,A,0
69,33500,63,21,33,Female,C,1
46,73222,65,38,39,Male,B,1
32,49375,59,1,37,Female,B,1
60,29662,36,37,29,Female,B,0
25,36964,49,38,44,Male,B,1
38,79638,85,25,21,Female,A,0
56,93666,65,14,44,Female,C,0
36,105067,43,33,52,Male,B,0
40,87215,73,39,55,Female,A,0
28,89042,44,10,50,Male,C,1
28,33284,39,2,33,Female,C,0
41,92789,70,5,20,Male,A,1
53,104664,30,8,35,Male,A,1
57,113468,21,5,22,Male,B,0
41,81389,64,8,54,Female,C,1
20,29435,50,38,25,Male,C,1
39,74340,51,30,44,Male,A,0
19,64078,44,31,32,Male,C,1
41,98832,46,11,53,Male,B,1
61,71293,43,7,27,Male,C,1
47,115981,40,7,40,Female,A,1
55,98781,44,27,53,Female,A,0
19,80403,43,19,23,Female,B,1
38,49124,37,6,44,Female,B,1
50,115435,41,10,34,Female,C,1
29,63919,12,19,23,Female,C,1
39,55247,60,15,31,Female,A,0
61,114758,55,3,51,Male,B,1
42,111747,48,5,51,Female,B,0
66,82752,53,21,47,Male,B,1
44,76573,54,25,32,Male,C,0
59,79101,39,2,50,Female,B,0
45,46646,42,13,33,Male,A,0
33,43049,57,10,39,Male,A,0
32,99605,53,17,37,Male,C,0
64,118116,80,11,48,Male,C,1
68,117379,74,22,25,Female,B,1
61,88385,63,11,51,Female,C,1
69,60158,38,12,48,Female,A,0
20,85417,41,24,21,Female,B,1
54,43289,34,18,42,Female,A,0
68,29823,54,35,38,Female,B,0
24,80160,8,7,50,Female,C,1
38,61975,43,28,24,Female,B,1
26,29540,45,31,38,Female,B,0
56,36364,27,17,53,Female,A,0
35,24611,61,5,29,Male,A,1
21,47663,32,17,44,Female,B,1
42,71991,54,18,21,Male,C,1
31,77679,91,21,30,Male,C,1
67,50977,25,36,50,Male,A,0
26,114704,47,31,34,Male,C,1
43,69115,43,2,28,Female,A,1
19,111007,40,27,42,Male,C,1
37,108223,61,9,38,Female,B,0
45,80890,66,34,28,Female,A,0
64,86387,61,28,54,Male,A,0
24,38071,39,14,40,Female,B,0
61,79275,86,32,28,Male,A,1
25,92369,23,6,47,Male,C,0
64,31938,34,11,26,Female,C,1
52,55195,52,29,35,Female,A,1
31,111680,51,20,35,Male,C,1
34,24000,57,30,52,Female,A,1
53,90588,73,23,23,Female,B,0
67,113610,48,19,23,Female,A,0
57,117856,51,36,58,Male,B,0
21,58304,41,3,59,Male,C,1
19,89449,58,27,36,Female,B,1
23,102986,45,19,56,Female,C,1
59,109643,45,23,58,Female,A,1
21,40764,58,31,48,Female,C,1
46,106027,65,35,55,Female,A,0
35,58494,16,33,57,Male,A,1
43,23373,55,35,58,Female,B,0
61,32161,45,1,56,Male,B,1
51,117532,64,14,54,Female,B,1
27,112658,46,33,26,Male,B,0
53,47350,69,35,46,Female,C,0
31,113008,39,5,47,Male,C,1
48,114297,16,38,41,Female,C,1
65,45351,65,11,33,Male,A,1
32,108668,37,2,26,Male,C,1
25,35305,26,17,56,Male,C,0
31,95353,50,39,41,Male,C,1
40,96797,46,20,24,Male,B,0
57,85953,62,14,21,Male,C,1
38,77458,63,32,46,Female,A,0
33,40358,51,34,40,Male,B,0
62,23267,36,25,57,Female,A,1
35,102745,54,7,34,Female,C,0
64,109588,52,35,40,Female,B,1
41,58513,58,29,29,Female,A,0
43,46092,36,22,42,Female,C,1
42,31338,43,13,58,Male,A,0
62,20412,57,13,24,Male,A,1
58,27543,68,1,20,Male,A,1
46,53496,64,36,32,Female,C,0
32,80692,51,4,40,Male,C,0
62,109084,42,37,45,Male,A,0
18,112920,56,13,40,Male,B,0
42,64425,33,38,37,Male,B,1
24,58756,37,24,56,Male,C,0
26,38888,72,19,51,Female,C,1
41,55735,56,1,55,Male,C,0
18,67295,44,38,36,Female,C,1
61,103042,62,5,54,Female,C,1
25,105999,69,16,30,Female,B,1
41,37955,43,24,40,Female,C,1
28,57841,43,27,45,Female,A,0
68,90640,41,1,23,Male,A,0
34,85510,64,34,53,Male,B,1
25,54911,64,36,37,Male,A,0
52,79031,70,4,59,Female,B,0
52,108726,65,0,54,Male,B,1
50,27357,25,39,48,Male,A,0
22,52479,54,11,48,Female,C,0
59,81476,34,35,57,Female,A,0
56,64811,42,22,40,Female,A,1
58,56208,52,30,32,Female,B,0
45,40150,62,10,36,Male,A,1
24,91180,36,9,28,Female,B,0
26,63286,15,2,20,Female,C,0
25,88450,52,13,21,Male,C,0
29,41352,89,15,48,Male,C,1
51,75069,46,9,52,Female,A,1
50,34397,50,28,29,Male,B,0
65,61555,76,9,59,Female,C,1
40,66959,58,11,40,Female,B,0
41,20728,53,29,47,Male,B,1
54,70517,56,0,30,Male,C,1
52,86234,53,4,53,Female,C,0
61,59954,32,19,27,Female,B,0
57,67280,29,7,41,Female,C,0
39,99459,78,11,27,Male,B,0
44,36779,52,0,34,Female,B,1
52,83932,51,19,36,Female,C,1
18,92936,48,27,42,Female,A,1
52,44466,61,36,43,Female,C,0
54,56939,88,36,38,Female,A,0
64,89896,57,11,24,Male,B,1
31,55270,41,36,51,Female,B,0
20,79163,47,27,20,Female,A,1
18,102637,66,14,42,Female,B,1
22,71934,41,5,56,Female,A,1
43,84895,62,19,27,Male,A,1
31,52307,15,13,32,Male,B,1
56,74098,46,1,27,Male,A,0
44,80921,59,8,42,Female,C,0
26,25486,69,36,20,Female,C,0
32,28335,37,19,43,Male,B,1
32,106900,27,25,54,Male,B,1
43,109112,46,28,43,Male,A,1
59,117203,33,0,36,Female,A,1
30,31130,47,34,24,Female,A,0
68,107508,49,5,39,Male,A,0
49,80566,30,36,40,Male,C,1
56,86703,62,4,59,Male,C,1
66,47192,47,32,50,Female,B,1
69,21062,66,13,55,Female,A,0
49,104076,22,11,30,Female,A,0
21,109780,34,19,34,Male,B,0
47,41545,57,23,38,Male,A,1
54,41689,38,33,26,Female,A,1
40,31174,47,24,47,Male,A,0
56,108461,50,28,24,Female,A,1
62,29348,52,38,24,Male,A,0
32,43714,39,30,49,Male,B,1
60,58102,52,22,51,Male,A,0
46,94460,38,37,27,Male,B,1
53,109930,60,19,29,Female,A,0
30,26801,48,22,57,Male,C,0
49,92267,52,15,51,Female,C,0
24,68136,88,7,47,Female,C,0
68,43625,33,20,36,Female,C,0
39,102873,70,0,50,Male,B,0
45,92592,10,7,27,Female,B,1
19,97052,18,28,59,Female,A,1
59,64261,31,31,44,Female,C,1
62,21542,32,37,28,Male,B,0
23,41677,53,4,21,Male,A,0
45,66732,54,21,34,Female,A,1
45,70343,46,33,22,Male,B,0
61,59081,47,0,55,Female,C,0
61,82856,57,25,23,Female,A,0
37,113105,62,9,33,Male,C,0
47,108858,30,29,44,Female,C,0
28,39065,44,17,29,Male,C,1
45,103460,48,16,40,Male,A,1
42,108092,57,25,55,Female,C,1
56,74693,38,7,31,Male,A,1
50,46962,48,39,46,Male,C,1
18,48295,50,11,59,Female,A,0
44,33807,39,26,21,Female,C,0
69,62348,39,7,32,Male,B,0
30,46432,51,24,51,Male,C,0
58,103285,48,3,50,Female,C,1
20,111792,57,32,35,Male,A,1
56,77854,34,0,51,Male,A,1
23,60262,44,18,51,Male,C,0
25,57080,46,30,53,Male,B,1
44,21324,62,15,30,Male,B,0
26,111267,35,13,29,Male,A,1
54,55909,53,4,34,Male,B,1
50,109339,53,25,36,Female,C,0
68,39870,74,27,59,Female,A,0
59,54578,34,1,37,Female,C,1
61,92124,40,5,28,Female,A,1
41,46790,35,8,44,Female,A,0
32,45289,24,32,59,Male,A,1
49,75129,76,24,33,Male,A,1
49,113714,31,12,44,Male,B,0
41,114246,37,8,41,Male,C,1
58,35485,69,12,49,Female,C,0
69,64482,23,30,39,Male,C,1
66,106188,61,10,40,Male,A,0
66,24748,28,3,51,Female,B,1
69,106769,68,33,40,Male,C,0
29,29435,17,37,54,Male,B,1
56,23709,23,3,51,Female,A,0
19,50355,41,37,49,Male,C,1
20,75771,64,18,58,Male,B,1
66,77799,49,5,31,Male,A,1
54,33116,44,33,37,Male,B,1
66,45470,70,17,40,Male,C,1
34,62344,82,12,32,Female,C,1
66,62918,60,22,40,Female,A,1
19,72224,40,18,27,Female,A,1
19,59298,43,10,59,Female,A,1
45,100219,30,0,26,Female,B,0
40,81629,51,23,42,Female,B,0
54,86040,25,6,51,Male,B,1
49,119518,58,24,30,Female,A,0
50,119835,80,20,41,Female,C,1
18,48016,60,14,41,Male,C,1
36,43960,42,0,44,Male,B,0
19,53591,57,11,41,Female,B,1
61,102848,74,6,47,Male,C,1
43,87641,73,14,48,Female,C,0
49,56395,34,20,32,Male,B,0
23,42700,57,18,37,Female,B,1
49,54620,47,28,21,Male,C,0
21,40559,62,24,48,Male,A,0
28,113045,55,32,40,Female,B,1
34,113396,14,31,34,Female,C,0
55,81642,44,34,46,Female,C,0
41,96539,52,37,50,Female,C,1
22,41732,28,25,34,Female,C,0
69,111362,58,10,42,Male,A,0
51,50354,27,34,43,Female,C,1
23,33843,38,7,32,Female,B,1
39,91726,70,13,41,Male,A,1
28,37640,36,9,56,Male,C,0
65,72528,58,1,52,Female,A,1
33,58413,23,8,22,Male,B,1
50,72638,81,2,38,Male,C,0
26,72736,45,20,42,Female,B,1
23,88866,51,25,48,Male,C,1
33,39087,52,7,49,Male,C,1
46,61430,59,1,58,Female,C,1
20,44504,27,5,44,Female,C,0
37,27114,49,27,56,Male,C,1
53,98859,40,28,27,Male,A,1
36,119657,24,25,35,Female,C,0
43,30975,64,24,27,Male,C,1
20,31023,44,11,20,Male,A,0
36,41447,53,4,24,Male,A,0
37,110469,52,33,22,Female,A,0
49,43959,44,36,20,Male,A,1
24,86203,79,14,23,Male,A,0
69,49703,49,35,59,Female,A,0
58,29337,26,14,54,Male,C,0
50,66427,43,22,51,Male,C,1
57,81529,57,5,53,Female,B,1
56,104665,57,20,44,Female,C,1
35,51921,33,22,29,Female,C,1
57,53307,63,15,40,Female,A,1
18,47355,23,14,58,Male,A,1
28,24835,67,24,46,Male,C,1
45,40159,30,35,46,Female,B,0
42,67605,46,10,21,Female,A,0
67,58088,65,14,32,Male,C,0
40,98752,51,3,28,Female,C,0
48,75284,62,20,55,Male,B,1
47,77043,59,12,41,Female,B,0
59,55547,69,21,45,Male,A,0
52,117007,65,18,31,Female,B,0
24,102844,43,33,36,Female,C,0
33,47532,59,13,33,Male,C,1
43,54349,27,3,33,Female,B,1
65,65445,49,26,53,Male,B,1
69,25713,62,28,39,Male,B,0
66,76178,52,27,30,Male,B,1
19,69407,56,34,35,Male,A,0
18,90340,46,7,50,Male,B,1
65,70990,66,15,25,Female,A,1
29,95672,48,35,38,Female,C,1
22,85545,43,29,56,Male,B,1
54,104791,63,17,23,Female,A,1
49,78141,28,1,23,Male,B,0
26,43793,57,12,39,Female,C,1
58,76570,34,3,29,Female,C,0
52,115084,69,25,43,Female,C,0
36,57892,46,24,54,Female,B,0
65,21015,52,29,45,Male,B,0
33,81813,56,10,56,Male,A,0
20,47712,21,6,57,Female,C,1
37,28415,40,30,40,Female,B,1
41,82292,65,9,59,Male,C,1
50,43833,63,38,58,Female,C,1
41,24158,54,12,40,Male,A,0
69,82680,29,30,29,Male,A,1
28,40309,58,6,57,Male,A,1
66,26970,60,35,23,Female,A,0
25,92474,50,19,39,Male,C,0
53,106704,68,3,36,Female,A,1
55,66540,39,6,26,Male,A,1
57,40384,42,0,23,Female,A,0
37,38017,12,12,48,Female,A,1
52,95880,63,21,33,Female,C,1
65,28702,54,20,22,Male,A,1
42,20384,24,21,43,Male,C,1
52,20404,23,27,56,Female,B,0
42,60943,36,8,35,Female,C,0
46,67926,61,25,23,Female,C,0
35,49189,45,8,43,Male,A,1
63,32763,37,14,53,Male,B,1
35,38384,34,9,49,Male,B,1
19,80100,34,23,37,Male,B,1
52,118142,20,7,38,Female,B,1
33,29860,31,23,50,Female,C,0
58,100642,33,15,38,Male,B,1
53,70612,60,25,38,Male,C,1
50,43574,47,26,41,Female,C,0
21,43524,37,36,43,Male,C,1
50,89172,84,3,31,Male,B,0
31,30916,40,23,49,Male,A,0
38,24809,67,18,57,Male,A,0
65,52201,74,35,50,Male,B,0
37,73330,26,38,55,Male,A,0
25,33456,51,9,38,Female,A,1
24,76397,42,24,55,Male,C,0
20,58765,41,17,49,Male,C,0
34,54816,58,18,52,Female,B,1
50,65106,40,35,37,Female,B,1
65,73932,42,9,47,Female,A,0
29,37100,47,32,30,Male,C,1
68,77091,44,4,52,Female,B,1
39,41949,32,34,36,Male,B,0
39,90080,61,33,25,Male,B,0
63,57744,65,32,23,Male,B,1
47,65543,55,20,39,Female,B,0
55,112193,44,16,46,Female,B,0
55,56187,39,21,34,Female,A,1
62,27239,39,36,25,Female,C,0
68,34489,85,14,33,Female,C,0
25,78017,64,34,30,Male,B,0
44,81877,37,27,58,Male,C,0
44,63125,52,6,28,Male,C,0
51,69922,44,31,45,Male,C,1
38,114074,58,10,35,Female,B,1
47,52049,58,9,24,Female,B,0
50,57131,66,8,29,Male,C,1
45,62944,37,13,22,Female,C,0
64,93963,51,12,32,Female,B,0
50,44285,23,24,49,Male,A,0
22,57626,31,1,25,Male,C,0
65,62808,63,34,36,Female,A,0
36,108464,35,6,38,Female,C,1
21,73871,37,20,54,Male,A,1
52,39198,49,17,45,Male,A,0
66,39758,60,2,24,Male,A,1
34,35254,34,38,48,Female,B,0
61,64238,-2,10,56,Male,A,1
45,21252,36,38,39,Male,A,0
47,59764,68,23,40,Female,A,1
46,97709,55,18,29,Female,C,0
63,57441,69,3,24,Female,A,0
23,112234,33,25,55,Female,C,1
52,73682,25,37,25,Female,A,1
58,79494,56,31,45,Male,A,0
54,101317,53,38,23,Male,B,1
41,85215,54,35,58,Female,C,0
46,98587,63,39,58,Female,A,1
66,26949,56,36,54,Female,C,1
63,75393,56,32,20,Female,C,0
48,93553,60,35,43,Female,B,1
52,26941,57,2,55,Male,B,1
50,45934,62,8,25,Male,B,0
69,43386,65,7,50,Male,B,1
38,81886,72,32,39,Male,B,0
49,95745,40,5,43,Female,B,0
40,103251,57,38,44,Male,B,0
50,114456,44,3,55,Female,B,0
20,73413,37,12,40,Female,A,0
35,76800,39,1,49,Female,C,1
42,117239,57,4,43,Male,B,0
59,62318,56,26,49,Female,B,0
48,90173,56,31,41,Male,C,1
20,90390,46,20,47,Male,A,1
57,72329,50,7,26,Female,C,1
63,63088,62,37,54,Female,C,0
41,59811,27,7,47,Female,B,0
67,75479,50,2,33,Male,C,0
49,105392,51,2,29,Female,C,1
64,107369,61,21,35,Male,B,0
39,39963,29,5,35,Female,B,1
40,75123,72,1,50,Female,B,0
19,112705,53,22,44,Male,B,1
44,93477,53,1,32,Male,C,0
59,34388,43,37,25,Male,C,0
19,25569,58,16,28,Male,A,0
43,89836,50,34,55,Male,A,1
34,56586,68,33,39,Male,C,1
57,32015,28,22,37,Female,A,0
50,65002,52,29,40,Female,C,0
26,26254,56,7,23,Male,A,0
60,37144,47,21,52,Female,B,1
65,44214,43,35,46,Male,A,0
56,100719,44,4,26,Female,B,0
46,91774,52,12,25,Female,B,0
59,26090,22,28,34,Male,B,0
43,31637,64,30,37,Male,B,1
52,42415,42,15,51,Male,A,1
67,44071,51,29,30,Female,C,0
42,78243,55,15,39,Male,B,0
41,61240,42,11,43,Female,A,1
30,103807,48,16,34,Male,B,1
24,53434,19,15,26,Female,A,0
53,89724,60,11,40,Female,A,1
62,95697,66,7,45,Male,A,1
37,48732,24,19,33,Female,C,0
18,31314,43,2,56,Female,A,1
25,43954,31,15,40,Male,A,1
63,77108,47,29,37,Female,C,0
33,107044,59,22,24,Male,C,0
31,107505,64,27,22,Male,A,1
29,56668,66,39,42,Male,C,0
68,43061,69,4,45,Male,B,1
40,99252,46,19,56,Female,B,0
32,59749,32,39,43,Female,C,1
45,36907,48,0,38,Female,C,0
51,38777,59,29,44,Male,A,1
19,113229,31,20,40,Female,C,1
49,71745,74,19,31,Female,A,1
40,111865,63,5,52,Male,B,0
39,101818,46,21,23,Male,C,0
68,43624,39,17,26,Female,A,1
42,43321,39,7,41,Male,A,1
39,30488,51,38,52,Male,B,0
39,42574,46,31,36,Male,C,0
66,25240,64,32,43,Male,B,0
69,63221,44,15,53,Female,A,0
59,30478,57,11,47,Male,A,0
23,75645,49,37,58,Male,C,0
32,39262,54,33,41,Male,A,1
60,72796,46,13,36,Male,C,0
54,24432,60,35,53,Male,B,1
50,115257,60,32,25,Male,C,0
25,84291,56,22,25,Male,C,0
61,99104,59,1,53,Male,A,1
61,79399,35,20,20,Female,A,1
22,99714,54,1,29,Male,C,0
56,70428,68,26,40,Female,A,1
21,107731,57,8,24,Male,A,1
23,20302,34,0,21,Male,A,1
62,102558,49,10,41,Male,C,1
49,20055,55,2,21,Male,A,0
69,28717,38,22,29,Female,C,1
47,48699,29,25,53,Male,A,0
64,93686,45,3,35,Male,B,0
52,87661,38,17,58,Female,A,0
57,64247,49,5,41,Female,A,0
69,36748,26,34,31,Male,C,1
33,24621,58,21,43,Female,C,1
30,35034,40,14,59,Female,A,0
67,25126,64,21,57,Female,B,0
59,25122,45,36,29,Male,A,0
47,38030,49,11,54,Male,A,0
36,102838,47,37,51,Male,B,1
34,104717,39,17,26,Female,C,0
36,75658,87,34,40,Male,A,1
45,58638,42,29,39,Female,C,0
43,87067,65,23,45,Male,C,0
54,108869,33,29,23,Male,B,0
43,54674,55,13,41,Female,B,0
40,55854,57,5,34,Male,C,1
26,66271,49,2,59,Female,A,1
29,93688,41,15,40,Female,C,1
18,58518,46,6,34,Male,A,0
18,30267,43,13,41,Female,A,0
64,110825,86,8,47,Male,B,1
51,21062,49,14,33,Male,A,1
49,70448,57,20,46,Female,A,0
65,115462,76,34,59,Male,C,0
42,26229,36,1,47,Female,B,1
57,76793,50,26,45,Male,A,0
62,67915,45,1,21,Male,A,0
18,24632,48,34,44,Male,B,1
