Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type,Weather_Label
14.0,73,9.5,82.0,Partly Cloudy,1010.82,2,Winter,3.5,Inland,Rainy,1
39.0,96,8.5,71.0,Partly Cloudy,1011.43,7,Spring,10.0,Inland,Cloudy,0
30.0,64,7.0,16.0,Clear,1018.72,5,Spring,5.5,Mountain,Sunny,3
38.0,83,1.5,82.0,Clear,1026.25,7,Spring,1.0,Coastal,Sunny,3
27.0,74,17.0,66.0,Overcast,990.67,1,Winter,2.5,Mountain,Rainy,1
32.0,55,3.5,26.0,Overcast,1010.03,2,Summer,5.0,Inland,Cloudy,0
-2.0,97,8.0,86.0,Overcast,990.87,1,Winter,4.0,Inland,Snowy,2
3.0,85,6.0,96.0,Partly Cloudy,984.46,1,Winter,3.5,Inland,Snowy,2
3.0,83,6.0,66.0,Overcast,999.44,0,Winter,1.0,Mountain,Snowy,2
28.0,74,8.5,100.0,Clear,1012.13,8,Winter,7.5,Coastal,Sunny,3
35.0,45,6.0,86.0,Partly Cloudy,961.8412499999998,2,Spring,1.0,Mountain,Cloudy,0
38.0,43,2.0,16.0,Clear,1029.16,11,Autumn,7.5,Inland,Sunny,3
12.0,59,10.5,25.0,Partly Cloudy,1016.08,3,Autumn,5.5,Mountain,Cloudy,0
-10.0,87,15.0,67.0,Overcast,986.19,0,Winter,1.5,Inland,Snowy,2
24.0,21,3.5,8.0,Clear,1018.88,8,Winter,5.5,Coastal,Sunny,3
10.0,50,6.5,46.0,Partly Cloudy,1000.44,2,Summer,8.5,Mountain,Cloudy,0
30.0,27,7.0,13.0,Partly Cloudy,1016.38,5,Spring,7.5,Inland,Sunny,3
33.0,51,0.5,27.0,Overcast,1009.18,3,Autumn,5.5,Coastal,Cloudy,0
43.0,46,0.5,15.0,Clear,1025.8,9,Spring,6.0,Mountain,Sunny,3
13.0,100,12.0,72.0,Clear,1012.25,4,Summer,8.0,Inland,Sunny,3
-10.0,67,8.5,75.0,Overcast,991.53,1,Winter,3.0,Mountain,Snowy,2
-7.0,88,12.5,98.0,Overcast,980.31,1,Winter,3.0,Inland,Snowy,2
33.0,36,7.5,18.0,Clear,1014.29,8,Summer,9.5,Mountain,Sunny,3
26.0,73,13.5,29.0,Overcast,1012.02,1,Summer,9.0,Inland,Cloudy,0
38.0,83,7.0,100.0,Partly Cloudy,1017.94,4,Spring,8.5,Mountain,Cloudy,0
4.0,79,1.0,85.0,Partly Cloudy,982.53,1,Winter,4.5,Inland,Snowy,2
17.0,72,7.5,62.0,Overcast,1010.16,2,Summer,3.0,Mountain,Rainy,1
40.0,57,4.0,12.0,Partly Cloudy,1020.73,11,Winter,9.5,Coastal,Sunny,3
24.0,61,6.5,3.0,Partly Cloudy,1018.15,7,Autumn,5.5,Mountain,Sunny,3
30.0,70,16.0,54.0,Partly Cloudy,1007.75,0,Winter,3.0,Mountain,Rainy,1
28.0,85,7.0,97.0,Overcast,991.07,1,Spring,2.0,Coastal,Rainy,1
2.0,61,16.5,63.0,Overcast,995.74,0,Winter,1.0,Inland,Snowy,2
4.0,95,2.5,56.0,Overcast,984.63,1,Winter,4.5,Inland,Snowy,2
15.0,97,23.0,91.0,Overcast,1009.36,13,Winter,2.5,Mountain,Rainy,1
29.0,69,3.0,15.0,Clear,1012.09,10,Winter,5.5,Inland,Sunny,3
35.0,21,10.0,6.0,Clear,1026.81,5,Autumn,7.5,Coastal,Sunny,3
11.0,90,25.5,76.0,Partly Cloudy,996.17,0,Winter,1.0,Mountain,Rainy,1
2.0,100,19.0,100.0,Overcast,991.68,7,Winter,3.5,Mountain,Snowy,2
-9.0,49,1.5,58.0,Partly Cloudy,1049.7312500000003,8,Spring,14.25,Mountain,Snowy,2
27.0,64,11.5,37.0,Partly Cloudy,1017.27,3,Autumn,8.0,Coastal,Cloudy,0
32.0,37,0.5,9.0,Partly Cloudy,1013.99,11,Winter,8.5,Inland,Sunny,3
36.0,22,1.0,0.0,Clear,1028.63,10,Summer,5.5,Mountain,Sunny,3
28.0,54,15.0,39.0,Partly Cloudy,1018.86,3,Winter,8.5,Mountain,Cloudy,0
42.0,64,2.0,18.0,Partly Cloudy,1028.55,8,Autumn,8.0,Mountain,Sunny,3
21.0,43,10.0,11.0,Clear,1019.41,11,Spring,6.0,Mountain,Sunny,3
22.0,50,0.0,18.0,Clear,1016.5,5,Summer,8.0,Coastal,Sunny,3
33.0,66,9.0,18.0,Partly Cloudy,1014.34,3,Autumn,6.0,Mountain,Cloudy,0
26.0,25,2.5,14.0,Partly Cloudy,1010.34,8,Winter,5.0,Mountain,Sunny,3
26.0,91,9.5,82.0,Overcast,1019.42,3,Summer,4.0,Mountain,Rainy,1
-2.0,98,18.5,86.0,Overcast,981.26,0,Winter,3.5,Mountain,Snowy,2
17.0,90,11.0,98.0,Overcast,1017.49,3,Winter,4.0,Inland,Rainy,1
25.0,55,8.5,37.0,Partly Cloudy,1014.49,4,Summer,7.5,Inland,Cloudy,0
-4.0,96,20.0,88.0,Partly Cloudy,990.72,1,Winter,4.5,Mountain,Snowy,2
-1.0,87,14.0,78.0,Overcast,984.11,0,Winter,4.0,Inland,Snowy,2
-5.0,94,5.5,55.0,Overcast,991.65,0,Winter,3.0,Inland,Snowy,2
22.0,95,13.0,90.0,Overcast,997.97,3,Autumn,2.5,Coastal,Rainy,1
41.0,85,9.0,100.0,Overcast,1017.89,3,Summer,7.5,Mountain,Cloudy,0
33.0,41,0.0,4.0,Clear,1018.56,7,Winter,9.5,Coastal,Sunny,3
31.0,70,0.5,69.0,Overcast,1049.7312500000003,3,Spring,12.5,Inland,Sunny,3
16.0,84,18.5,54.0,Overcast,996.12,0,Spring,3.0,Coastal,Rainy,1
10.0,64,14.0,18.0,Overcast,1011.96,1,Spring,8.5,Coastal,Cloudy,0
29.0,63,6.0,68.0,Overcast,992.45,0,Winter,3.0,Mountain,Rainy,1
15.0,55,1.5,32.0,Partly Cloudy,1009.01,2,Autumn,5.5,Inland,Cloudy,0
3.0,75,26.25,87.0,Overcast,996.85,5,Winter,4.5,Inland,Snowy,2
24.0,52,9.0,29.0,Partly Cloudy,1007.84,1,Autumn,8.0,Mountain,Cloudy,0
25.0,85,9.0,67.0,Overcast,995.4,1,Winter,2.0,Mountain,Rainy,1
25.0,89,1.5,87.0,Partly Cloudy,1017.16,11,Summer,6.5,Mountain,Sunny,3
24.0,47,8.0,17.0,Clear,1025.22,5,Summer,6.0,Mountain,Sunny,3
2.0,97,2.0,89.0,Partly Cloudy,993.14,0,Winter,3.0,Inland,Snowy,2
21.0,54,3.0,17.0,Clear,1026.15,7,Summer,8.0,Mountain,Sunny,3
2.0,81,13.5,57.0,Overcast,983.36,1,Winter,4.0,Inland,Snowy,2
21.0,75,3.5,41.0,Partly Cloudy,1017.74,2,Winter,8.0,Mountain,Cloudy,0
11.0,52,6.0,97.0,Overcast,1049.7312500000003,7,Summer,12.5,Inland,Snowy,2
31.0,62,6.5,84.0,Overcast,1013.61,0,Spring,4.5,Inland,Rainy,1
33.0,31,6.5,18.0,Clear,1022.53,7,Summer,8.5,Coastal,Sunny,3
34.0,47,5.0,4.0,Clear,1027.53,9,Spring,10.0,Inland,Sunny,3
21.0,66,13.5,29.0,Partly Cloudy,1018.98,3,Autumn,8.5,Mountain,Cloudy,0
28.0,68,18.0,90.0,Overcast,992.83,3,Winter,5.0,Mountain,Rainy,1
33.0,62,10.0,83.0,Partly Cloudy,1009.48,1,Summer,3.5,Inland,Rainy,1
25.0,96,6.0,90.0,Overcast,1006.67,0,Autumn,4.5,Mountain,Rainy,1
27.0,73,9.5,47.0,Partly Cloudy,1017.82,1,Summer,7.0,Coastal,Cloudy,0
